sampleid	AZMP_code	Cruise_code	Date	Station	Year	Season	Latitude	Longitude	Depth	Size Fraction	Time	Volume_SW			
S-2017-GULD04-20m-L	426a	COR2017001	2017-04-25	GULD_04	2017	S			20	L	11:20:00	3800			
S-2017-GULD04-20m-S	426c	COR2017001	2017-04-25	GULD_04	2017	S			20	S	11:20:00	3800			
S-2017-GULD04-250m-L	428a	COR2017001	2017-04-25	GULD_04	2017	S			250	L	10:25:00	4100			
S-2017-GULD04-250m-S	428c	COR2017001	2017-04-25	GULD_04	2017	S			250	S	10:25:00	4100			
S-2017-LL07-1m-L	433a	COR2017001	2017-04-26	LL_07	2017	S			1	L	14:00:00	4000			
S-2017-LL07-1m-S	433c	COR2017001	2017-04-26	LL_07	2017	S			1	S	14:00:00	4000			
S-2017-LL07-20m-L	434a	COR2017001	2017-04-26	LL_07	2017	S			20	L	14:00:00	4100			
S-2017-LL07-20m-S	434c	COR2017001	2017-04-26	LL_07	2017	S			20	S	14:00:00	4100			
S-2017-LL07-250m-L	436a	COR2017001	2017-04-26	LL_07	2017	S			250	L	13:00:00	4200			
S-2017-LL07-250m-S	436c	COR2017001	2017-04-26	LL_07	2017	S			250	S	13:00:00	4200			
S-2018-GULD04-1m-L	589L	HUD2018004	2018-04-17	GULD_04	2018	S			1	L	11:30:00	4000			
S-2018-GULD04-1m-S	589S	HUD2018004	2018-04-17	GULD_04	2018	S			1	S	11:30:00	4000			
S-2018-GULD04-20m-L	590L	HUD2018004	2018-04-17	GULD_04	2018	S			20	L	11:30:00	3800			
S-2018-GULD04-20m-S	590S	HUD2018004	2018-04-17	GULD_04	2018	S			20	S	11:30:00	3800			
S-2018-GULD04-250m-L	592L	HUD2018004	2018-04-17	GULD_04	2018	S			250	L	11:30:00	4000			
S-2018-GULD04-250m-S	592S	HUD2018004	2018-04-17	GULD_04	2018	S			250	S	11:30:00	4000			
S-2018-LL07-1m-L	593L	HUD2018004	2018-04-17	LL_07	2018	S			1	L	22:10:00	4000			
S-2018-LL07-1m-S	593S	HUD2018004	2018-04-17	LL_07	2018	S			1	S	22:10:00	4000			
S-2018-LL07-20m-L	594L	HUD2018004	2018-04-17	LL_07	2018	S			20	L	22:10:00	3800			
S-2018-LL07-20m-S	594S	HUD2018004	2018-04-17	LL_07	2018	S			20	S	22:10:00	3800			
S-2018-LL07-250m-L	596L	HUD2018004	2018-04-17	LL_07	2018	S			250	L	22:10:00	4000			
S-2018-LL07-250m-S	596S	HUD2018004	2018-04-17	LL_07	2018	S			250	S	22:10:00	4000			
