ASV_ID	F-2014-GULD04-1m-L	F-2014-GULD04-1m-S	F-2014-GULD04-20m-L	F-2014-GULD04-20m-S	F-2014-GULD04-250m-L	F-2014-GULD04-250m-S	F-2014-LL07-1m-S	F-2014-LL07-20m-S	F-2014-LL07-250m-L	F-2014-LL07-250m-S	F-2016-GULD04-1m-L	F-2016-GULD04-1m-S	F-2016-GULD04-20m-S	F-2016-GULD04-250m-L	F-2016-GULD04-250m-S	F-2016-LL07-1m-L	F-2016-LL07-1m-S	F-2016-LL07-20m-S	F-2016-LL07-250m-L	F-2016-LL07-250m-S	F-2017-GULD04-1m-L	F-2017-GULD04-1m-S	F-2017-GULD04-20m-L	F-2017-GULD04-20m-S	F-2017-GULD04-250m-L	F-2017-GULD04-250m-S	F-2017-LL07-1m-L	F-2017-LL07-1m-S	F-2017-LL07-20m-L	F-2017-LL07-20m-S	F-2017-LL07-250m-L	F-2017-LL07-250m-S	S-2014-GULD04-1m-L	S-2014-GULD04-1m-S	S-2014-GULD04-20m-L	S-2014-GULD04-20m-S	S-2014-GULD04-250m-L	S-2014-GULD04-250m-S	S-2014-LL07-1m-S	S-2014-LL07-20m-S	S-2014-LL07-250m-L	S-2014-LL07-250m-S	S-2017-GULD04-1m-L	S-2017-GULD04-1m-S	S-2017-GULD04-20m-L	S-2017-GULD04-20m-S	S-2017-GULD04-250m-L	S-2017-GULD04-250m-S	S-2017-LL07-1m-L	S-2017-LL07-20m-L	S-2017-LL07-20m-S	S-2017-LL07-250m-L	S-2017-LL07-250m-S	S-2018-GULD04-1m-L	S-2018-GULD04-1m-S	S-2018-GULD04-20m-L	S-2018-GULD04-20m-S	S-2018-GULD04-250m-L	S-2018-GULD04-250m-S	S-2018-LL07-1m-L	S-2018-LL07-1m-S	S-2018-LL07-20m-S	S-2018-LL07-250m-L	S-2018-LL07-250m-S
5166524d594364f26e8c6291aa8fb14b	0	0	0	0	37	164	0	0	0	13	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9ba0ef553b307f3ae5e25a0fafb48342	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	14	0	0	0	0	0	0	0	0	0	18	0	37	0	0	15	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
1cbf0eadf4776193934fd0fd7d4851a0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	37	15	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1ba4b300f79838fc4c164465433b097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	68	118	18	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e688de2f5edc9aa066b03be13ae673b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	21	0	0	0	0	0	7	0	0	0	0	0	36	0	57	0	82	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f220b3c61bfcc53fcb68b731a05fd9ad	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0
be529b1137898db16adf3c8011fa8e38	0	0	0	0	0	31	0	0	0	8	0	0	0	0	25	0	0	0	0	11	0	0	0	0	0	52	0	0	0	0	0	19	0	0	0	0	0	10	0	0	0	14	0	0	0	0	0	6	0	0	0	0	60	0	0	0	0	0	2	0	0	0	0	0
cdf54fb9fade366ee95aed3bf5e4af31	0	0	0	0	0	18	0	0	16	0	0	0	0	0	18	0	0	0	0	20	0	0	0	0	0	23	0	0	0	0	0	31	0	0	0	0	0	47	0	0	0	22	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
9c19f2e5b5d62ff243e302f63856d710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	26	0	0	0	51	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9cf9af36227d790fe666f6f98f93d50f	9	0	64	0	0	0	0	0	0	0	4	0	0	0	0	8	38	35	0	0	11	0	0	0	0	0	16	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	6	0	0	0	0	0	0
92812a48bc5d90a23a2436cd7ae86fdb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	7
487da22a15f99a52855773e36f5d4c7e	0	0	7	0	0	0	19	13	22	0	0	0	0	0	0	0	0	0	0	0	12	80	14	7	0	0	13	24	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
c863f2a2527a7f430dda4ec7525ec4b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fbd9a7ddd2e63b4525d16f254bfd3328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0
f4ee93c493c5c1bd0c86222608d7c1f6	0	0	0	0	9	0	0	0	31	0	0	0	0	9	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	31	4	0	0	0	0	22	0	0	0	30	0	0	0	0	0	20	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
dcbe6fb6532984411cfa7ad1462280da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	95	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	18	66	0	0	0	0	0	0	0	0	0	0	0
e1c004f6e877a6c35bb010386cf91853	0	0	0	0	0	78	0	0	0	0	0	0	0	0	32	0	0	0	0	22	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a2107a5a340fc71bc9da8fb933eb9593	0	0	0	0	0	32	0	0	0	0	0	0	0	0	44	0	0	0	0	40	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
c58fc13868004744bd77f210d45ea715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	111	0	0	0	68	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7d1df1944462e209448b02ee118ff9f1	0	0	0	0	0	40	0	0	0	13	0	0	0	0	30	0	0	0	0	7	0	0	0	0	0	36	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	13
83956aaab933af6066720891a5a0d261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
31c730d916cab2592f86c8c4500f721d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	13	0	38	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
914f6cf2958e9fe633abdb0c4bb6b699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	17	36	12	0	8	4	0	0	41	13	19	15	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
438131a641d1b4a690ec9b261bf5fea0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9d3b7d6faf359ff267a1e821031eae45	0	0	5	0	16	0	5	0	8	0	14	0	0	5	0	0	0	0	13	6	4	0	0	0	0	0	0	3	5	0	0	0	3	3	5	22	30	3	6	0	41	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	9	0	0
e7da1335cc9023e506df6af40d7ee069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	10	0	59	0	0	74	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	4	0	0
2d43b0eea19572a777bc6e5ec9f0820a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	34	0	0	0	0	0	26	0	0	0	48	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
668179f5509833e0169e7917ad480b5c	0	0	0	0	0	12	0	0	0	10	0	0	0	0	32	0	0	0	0	23	0	0	0	0	0	46	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0
48d0ad978f21a7069bf90dc133427518	0	0	0	0	0	24	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0
ac8cc89c6799a9b9d960e1cb78d4e363	0	0	0	0	0	82	0	0	0	0	0	0	0	0	14	0	0	0	0	31	0	0	0	0	0	23	0	0	0	0	0	17	0	0	0	0	0	16	0	0	0	25	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
2ae743d3b69af42f9aaa488aa7943ab0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	31	0	0	0	0	0	11	0	0	0	17	0	0	0	0	0	14	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
338e932b4d830be88eb5307238e8a546	0	0	0	0	0	29	0	0	10	0	0	0	0	0	28	0	0	0	0	20	0	0	0	0	0	19	0	0	0	0	0	15	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	15	0	0	0	8	57	0	0	0	0	0	0	0	0	0	0	0
d20383f79b6b6c107f9bd848d169737d	0	0	0	0	0	118	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
c2f510fa2e9be8a041992c7a40bac641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	44	0	0	0	0	0
2dbeb9e3b59e5bfd1c008959d535fd97	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	41	0	24	0	0	0	29	0	0	0	45	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
