Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
ee1b70cbce7beade0bba1d74f4aa0e81	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
ee754062b6d0400a0681a0f03933f155	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_marine
ee784a7d1ccff36339cfa61b78ab95df	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_alveolate
ee91374266d90a398967d0f6f2d6cd4e	Eukaryota	Diatomea	Mediophyceae	Mediophyceae	Mediophyceae	Chaetoceros	uncultured_stramenopile
eeef3a6491c76e97743352ed24d4e869	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
eef1c719268079cc0b4a4870fc242311	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	uncultured	uncultured_eukaryote
eef36cccdd81f9fdddc601f1c0b7ccc0	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
ef02eb805f1cfe1751b809bcec6cb484	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
ef1c5fd930a5df1d4c4fa7f4c78ba2bd	Eukaryota	Cnidaria	Hydrozoa	Narcomedusae	Narcomedusae	Narcomedusae	uncultured_eukaryote
ef1ee72534472c498dae3c46c7a14a9e	Eukaryota	Dinoflagellata	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Blastodinium	Blastodinium_spinulosum
ef20e0b33071f12a43079c786b230e21	Eukaryota	Arthropoda	Maxillopoda	Cyclopoida	Cyclopoida	Cyclopoida	uncultured_eukaryote
ef63d58585b76aba76ea7c06553e1cb2	Eukaryota	Dinoflagellata	Dinophyceae				
ef84b538417b8ffdbef65b29d0878373	Eukaryota	Retaria	Acantharia	Arthracanthida	Arthracanthida	Phyllostaurus	uncultured_eukaryote
efbde72d308be55edd7b509cb9e14626	Eukaryota	Cryptophyceae	Cryptophyceae	Cryptomonadales	Cryptomonadales	Geminigera	uncultured_eukaryote
eff9ad1ad725e4c654252e5782fd849e	Eukaryota	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Telonema	
f00f5dd7712a837ecffe7679479a6949	Eukaryota	Prymnesiophyceae	Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	
f0149cd6785519b15415fc7dcdb49643	Eukaryota	Diatomea	Bacillariophyceae	Bacillariophyceae	Bacillariophyceae	Pseudo-nitzschia	
f01965469af6ee1823a209d5e6044351	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f0295e738595e767f0adce700798d68c	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_alveolate
f04dce2cd469ef76aab1b85457f0a95e	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
f051216f28c5d57f556a0694c53e1612	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f05b240fa85510046ea2f8b5a75bc4a5	Eukaryota	Ochrophyta	MOCH-2	MOCH-2	MOCH-2	MOCH-2	uncultured_eukaryote
f0631321bc21daa05d68eeecff2f39f6	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f086e423732aeedcccca7ea15f4d784d	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	phytoplankton_environmental
f0bb5e73311d99596acbbc770797329f	Eukaryota	Prymnesiophyceae	Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	
f0ccd9a4b16be6ece0ae6a42ad0f76b2	Eukaryota	Dinoflagellata	Dinophyceae				
