ASV_ID	Superkingdom	Phylum	Class	Order	Family	Genus	Species	Confidence	Selected_Prefix
649c411397ebf10c1a1af36a961e0c33	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	78.531	blst_
6fdd87a93ac496d6f91fcba6eb1227cb	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.138	blst_
b78b6b87b46bbcde9644590d0cfb73e2	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.286	blst_
74068ea19e5ec14d49cf953fa09f4f02	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	79.487	blst_
48d6d2b3597682a898188063f46cf05a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.858	blst_
e8ddc10475d76d12a53444a143a1e79b	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.22	blst_
bf76c58f88d5bb42d9526d278a5e089a	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	83.162	blst_
b34721ad43c9425095832a8f876dc480	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.112	blst_
78cc5821696b1100d45ea291be75cdf4	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.906	blst_
65831ccef9b1e3c2955b569a1d00a9ad	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	78.221	blst_
e7a30bb75ee19d32e67aa1e6ed28af86	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	uncultured Flavobacteriales bacterium	99.716	blst_
dcedf33fffba3481c1e68e4b421b20dc	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.766	blst_
1a20b2806cb4fabf8294647b97e64615	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.375	blst_
b2382093bb6f8c116407fd7218d09fc8	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	88.103	blst_
52d32eb6399d45ccf67654b05052ee78	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	85.897	blst_
a255b96fd685270e1abeb42b9aea3162	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.817	blst_
c1bf504a0055538dccc1f146d374b7fe	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.662	blst_
ad19016bf1cecdf6c77070021a13cbd6	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.046	blst_
95736b3e3bcf5874fee1f5b1e71428e3	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	NA	NA	NA	78.827	blst_
8c6bfc313c5ce5903453aab7a9c12584	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.699	blst_
8085941f98fd2b43e1e4105b0e9ab8cc	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	85.797	blst_
97adbe81d7e2906b69c38ab1222d93e5	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	88.141	blst_
1e826a4d0a7fe90f8b10bbda341927a0	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	uncultured Polaribacter sp.	98.291	blst_
c8b139fb05bc2b6d8e554abd16587562	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.174	blst_
bbb5dfcde9a954443e9f497636f00883	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	76.232	blst_
165be04e94e52d693777a99b3700437f	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	88.179	blst_
2bec8185571b1b79ddfd1577c8b03c2e	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	83.013	blst_
84463ecbd01f9c998c8b2fcf686ca071	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.859	blst_
39933bef9e87eaf8de42cec8c952a093	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.621	blst_
d4f559c6e839199a89f5ee360d280b32	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	85.623	blst_
129369bdb301a4f76821ae20a218e986	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.821	blst_
927048828240911497867ab25b385f8a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.663	blst_
99f0498d9e731e879c82807625be5952	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	79.832	blst_
e3bea6e121b3b4c111e84a29212769c3	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	79.63	blst_
bb12ebbe8c44c9a505c63f3f0aa9279e	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	81.994	blst_
f7ea99e791a0b232ba6e71e608e6d51c	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	78.531	blst_
0b05c7e484973ed12069140650f026b4	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	85.577	blst_
0bb7d4d7d165681eac038cfd8d4fc745	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.859	blst_
888b27841228945b89ddec61b6779149	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	84.665	blst_
ac26b1b69fea5767e4642cd0ebc90511	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.424	blst_
2030703a3a68ac4da38cb4c5a2e974f8	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.375	blst_
1c1f465107e14e1dc6545a7e4ee7085f	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	87.5	blst_
fa0aba78eb35f3a18ca1390ba19f71b2	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	78.47	blst_
42557f4f4dd31c8d6e177662ce11ec70	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	NA	NA	NA	80.208	blst_
f929c304c0c1b1807dc80e14c7f7e778	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.875	blst_
ce1e02c97972342c5c3efd9e1570d11a	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Puniceispirillales	NA	NA	NA	75.269	blst_
7afdd44ed7db6275561de73c71c3799a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	85.227	blst_
526b9c2a97d7c9ff3ce95b5d34af6211	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.447	blst_
114c668ecad6d3047b107a7d1025a3df	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.54	blst_
88fd835fef2913a5ee900515e9389084	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.33	blst_
72414800d2801337af439e61a8ae948a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.012	blst_
9d50aeb1b58f93bdc222fa69db192c33	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	85.531	blst_
482c9c91cf855e734b84d373313572f6	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	NA	NA	NA	79.153	blst_
5a736c5c3aea2d5c3cee02f8223d207b	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	85.897	blst_
bd5510c15949efcb919cde7f4d755c69	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	90.705	blst_
